Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-05-26,23:10:42.570,-20,0,100,13,0,7,100,-18,100,13,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"WAIT*",0,-1022,-1,2,-1021,1,-1,-1,-1,-1,0x0000000000000000,1524,1508,991,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:43.060,-20,0,100,12,0,7,100,-14,100,13,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"WAIT*",0,-1022,1,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,991,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:43.560,-21,0,98,12,0,7,100,-14,98,12,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"STAB",0,-1022,-2,1,-1019,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,991,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:44.060,-20,0,96,13,0,7,100,-18,96,13,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"STAB",0,-1024,-1,0,-1019,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:44.560,-20,0,96,12,0,7,100,-14,98,12,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"STAB",1,-1021,0,0,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1509,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:45.060,-20,0,100,12,0,7,100,-14,99,12,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"STAB",0,-1021,-1,2,-1021,1,-1,-1,-1,-1,0x0000000000000000,1524,1508,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:45.560,-21,0,98,12,0,7,100,-14,98,13,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"STAB",1,-1024,1,2,-1019,1,-1,-1,-1,-1,0x0000000000000000,1524,1509,990,1500,2012,988,988,988,988,991,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:46.060,-21,0,98,13,0,7,100,-14,97,12,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"STAB",-1,-1021,-1,0,-1021,1,-1,-1,-1,-1,0x0000000000000000,1523,1508,992,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:46.560,-20,0,100,13,0,7,100,-14,100,12,,0.0,0.00,0,0,11.3,0.0,3,99,0.27,0.01,-0.04,"STAB",2,-1024,0,3,-1021,1,-1,-1,-1,-1,0x0000000000000000,1524,1509,990,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
2025-05-26,23:10:47.060,-21,0,97,12,0,7,100,-13,97,12,,0.0,0.00,0,0,11.2,0.4,3,99,0.27,0.01,-0.04,"STAB",1,-1022,-1,2,-1021,1,-1,-1,-1,-1,0x0000000000000000,1524,1508,991,1500,2012,988,988,988,988,990,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.1
